name,area_fraction,collagen_mean,collagen_median,collagen_sd,porosity,gabor_t0_f0.04_mean,gabor_t0_f0.04_var,gabor_t0_f0.08_mean,gabor_t0_f0.08_var,gabor_t0_f0.12_mean,gabor_t0_f0.12_var,gabor_t45_f0.04_mean,gabor_t45_f0.04_var,gabor_t45_f0.08_mean,gabor_t45_f0.08_var,gabor_t45_f0.12_mean,gabor_t45_f0.12_var,gabor_t90_f0.04_mean,gabor_t90_f0.04_var,gabor_t90_f0.08_mean,gabor_t90_f0.08_var,gabor_t90_f0.12_mean,gabor_t90_f0.12_var,gabor_t135_f0.04_mean,gabor_t135_f0.04_var,gabor_t135_f0.08_mean,gabor_t135_f0.08_var,gabor_t135_f0.12_mean,gabor_t135_f0.12_var,meij_fiber_area,meij_skeleton_len,sato_fiber_area,sato_skeleton_len,alignment_coherence,dominant_orientation_rad
In113_113In_Collagen (1),24.027708333333333,1.4697843790054321,1.4436354637145996,0.6351056694984436,75.97229166666666,0.16605794766548693,0.024712188254436024,0.0783990439362756,0.004063507537969504,0.05114909920670212,0.0014322462604026381,0.17847239053809547,0.02770676825082262,0.09525844515510236,0.006177791204948511,0.0594285743490098,0.0021220317044267434,0.19104590170716532,0.030783627573275504,0.12012780347725276,0.010976215344995682,0.08439687231498741,0.0053630698128323715,0.17845173856320282,0.027596867401780013,0.09556573832168805,0.0064209937377109885,0.06064849211322955,0.002222986754241813,0.18850486111111112,52943,0.18824375,57049,0.14138424396514893,-0.02900034934282303
In113_113In_Collagen copy 2,29.93423611111111,1.3529554605484009,1.4436354637145996,0.523396909236908,70.06576388888888,0.16145197085233706,0.02382070134547644,0.09050224458629107,0.0056819787562278476,0.06225281727185103,0.00214878873549575,0.1524758274578892,0.02182734353687659,0.07927683491331061,0.004194300263882557,0.05612537626068517,0.0016450107049690143,0.15333240220432537,0.02185409153393239,0.08075027430468833,0.004309118643676796,0.05740907290157338,0.0016588194829028325,0.1628444392564438,0.024432202917060938,0.09497564192073617,0.006500064593821019,0.06574546370046712,0.002514573500395672,0.25890277777777776,90597,0.2733,116525,0.06443667411804199,-0.18404188752174377
In113_113In_Collagen copy 3,60.73,1.5095267295837402,1.4436354637145996,0.5489739775657654,39.27,0.12684799269602423,0.008630396412563626,0.08647715859215253,0.003188872234323317,0.06875567779412882,0.0017012093311626361,0.12790820265875505,0.009055055289570358,0.08944729985987418,0.003602903753859063,0.07086390125061433,0.0019093767654685704,0.12985037544302397,0.009284905375574791,0.0928036867391091,0.004123190061449367,0.07479662495709909,0.002351612035518982,0.1285515915720974,0.008901587800140578,0.08901136038981501,0.0034833975550031793,0.07009759230229773,0.0018326131208909317,0.4024041666666667,176810,0.3986798611111111,238983,0.04934850335121155,0.002766415709629655
In113_113In_Collagen copy,9.043194444444444,1.1854311227798462,0.8813735842704773,0.44948506355285645,90.95680555555556,0.18443453964062123,0.054398707151863505,0.09471780498497408,0.013103574822928576,0.057777209171357466,0.004284286749243517,0.17953238508575015,0.05149666817213623,0.08568969506724988,0.010321354775855645,0.05109443800729401,0.0030524972879017276,0.16973391305064184,0.04622125120379971,0.07198286030313397,0.006539210576161115,0.04359097428461,0.0018436654044435346,0.17569954159208018,0.05002948751028171,0.08144425726109511,0.009091280511007547,0.047974612538892375,0.0025921636761036485,0.07098819444444444,26698,0.08320902777777778,37663,0.06004280969500542,0.021740252152085304
